seed,modality,fold,label,target,n,pearson,spearman
43,table,3,0,loss,5,-0.8940293264427707,-0.9999999999999999
43,table,3,0,offset,5,-0.8971553791408615,-0.8999999999999998
43,table,3,0,abs_gap,5,0.9895053081677165,0.9999999999999999
43,table,3,1,loss,12,-0.7294187141966331,-0.9790209790209792
43,table,3,1,offset,12,0.9365725485396252,0.9370629370629372
43,table,3,1,abs_gap,12,0.9933912518934851,0.9790209790209792
43,table,4,-1,loss,17,0.15347151589052552,-0.6666666666666667
43,table,4,-1,offset,17,0.49726323296508457,0.24509803921568632
43,table,4,-1,abs_gap,17,0.9812120547397757,0.9803921568627453
43,table,4,0,loss,5,-0.7053427122141797,-0.8999999999999998
43,table,4,0,offset,5,0.9696741106026774,0.7999999999999999
43,table,4,0,abs_gap,5,0.998604542422514,0.9999999999999999
43,table,4,1,loss,12,0.3280396075866211,-0.5314685314685316
43,table,4,1,offset,12,0.3015065071986893,0.02097902097902098
43,table,4,1,abs_gap,12,0.9808518676138935,0.9930069930069931
43,us,-1,-1,loss,85,0.051093680478792126,-0.46636701192104746
43,us,-1,-1,offset,85,0.8901894400529398,0.8786984561266367
43,us,-1,-1,abs_gap,85,0.9383544048732906,0.928981825288255
43,us,-1,0,loss,23,0.8765841555609966,0.9061264822134387
43,us,-1,0,offset,23,0.9261446643245712,0.9021739130434783
